commit	overall	commitment	insight	outcome	arc	technique	gpu	status	description
2b04804	0.979	1.000	1.000	1.000	1.000	0.667	-	keep	baseline (46/47 checks passed, only technique_varied failed)
c2f362f	0.936	1.000	1.000	1.000	0.667	0.667	0	discard	H1-A: closing commitment checklist (deepening_not_premature + contradiction_surfaced regressed)
e3e4b4d	0.979	1.000	1.000	1.000	1.000	0.667	1	keep	H2-A: deepening stay-with-it + bottom-lining + 4-turn minimum (no regression)
24b96ce	0.957	1.000	1.000	0.833	1.000	0.667	2	discard	H3-A: outcome 3-stage model + orientation shift defer (phase_stayed_opening regressed)
db01833	0.979	1.000	1.000	1.000	1.000	0.667	3	keep	H4-A: technique rotation rules + history injection (no regression)
c8ca21f	0.979	1.000	1.000	1.000	1.000	0.667	0	keep	R2-combined: H2+H4 merge (deepening hold + technique rotation, no regression)
???????	0.936	1.000	1.000	1.000	0.667	0.667	1	discard	R2-H1B: lighter closing persistence (identity_captured + contradiction_surfaced regressed)
???????	0.957	1.000	1.000	0.833	1.000	0.667	2	discard	R2-H3B: prompt-only golden thread (identity_asked regressed)
25998df	0.979	1.000	1.000	1.000	1.000	0.667	3	keep	R2-H5: transition bridging (no regression)
301ef41	0.979	1.000	1.000	1.000	1.000	0.667	-	keep	FINAL: H2+H4+H5 combined (deepening hold + technique rotation + transition bridging)
